Date,Location,Latitude,Longitude,Vehicles,Drunken persons,Fatalites,Persons,Pedestrians
"Feb 17, 2017 02:10 PM","Sr-4 Paddock Rd, Rossmore Ave",39.104427,-84.513808,2,-,1,2,-
"Feb 18, 2017 12:45 AM",Cr-659 Vine St,39.106019,-84.514196,2,-,1,4,-
"Mar 3, 2017 11:05 AM","Us-22 8th St, Cr-665 Sycamore St",39.104427,-84.513808,4,-,1,2,1
"Mar 28, 2017 10:46 AM",Winton Rd,39.183234,-84.521706,1,1,1,1,-
"Apr 10, 2017 02:05 AM",Center Hill Ave,39.19097,-84.500207,1,1,2,2,-
"Apr 27, 2017 04:32 PM",Winton Rd,39.183234,-84.521706,3,-,1,3,-
"Apr 12, 2017 09:58 AM","Sr-561 Observatory Ave, Cr-608 Delta Ave",39.104427,-84.513808,2,-,1,3,-
"May 6, 2017 02:31 AM",Montana Ave,39.159321,-84.566739,1,1,1,2,-
"Jun 6, 2017 03:20 PM",Sr-50 River Rd,39.081883,-84.585884,2,-,1,4,-
"May 26, 2017 10:24 PM",Us-42 Reading Rd,39.10851,-84.508679,1,-,1,1,1
"Aug 27, 2017 11:20 PM","Cr-605 William Howard Taft Rd, Cr-679 Collins Rd",39.104427,-84.513808,1,1,1,1,-
"Aug 19, 2017 10:44 PM",Western Hills Via Rd,39.123817,-84.61161,2,-,1,2,1
"Sep 9, 2017 12:45 AM",Sr-125 Beechmont Ave,39.117917,-84.412856,2,-,1,2,-
"Sep 20, 2017 00:18 AM",Cr-142 Noth Bend Rd,39.198153,-84.480075,3,1,3,3,-
"Nov 26, 2017 06:36 AM",Beekman St,39.136291,-84.547896,1,1,1,1,-
"Nov 19, 2017 00:58 AM",Cr-457 Harrison Ave,39.123034,-84.536508,2,-,2,3,-
"Sep 24, 2017 12:04 AM",Cr-612 Madison Rd,39.155638,-84.425909,1,-,1,1,1
"Nov 15, 2017 11:48 PM",Cr-644 Clifton Ave,39.114365,-84.512631,2,1,1,1,-
"Dec 9, 2017 11:21 AM",Cr-716 Warsaw Ave,39.110319,-84.568226,2,-,1,1,1
"Dec 28, 2017 04:57 PM",Dutch Colony Dr,39.190229,-84.515556,1,-,1,6,-
"Nov 7, 2017 06:49 AM",Warsaw Ave,39.108855,-84.555501,1,-,1,1,1
"Dec 22, 2017 06:51 AM","Reading Rd, Whittier St",39.104427,-84.513808,1,-,1,1,1
